tmpf,dwpf,relh,mslp,sknt,feel_gap,u_wind,v_wind,dew_depression,dew_dep_tend_3h,cloud_oktas,cloud_tend_3h,ceiling_ft,p01i,precip_24h,is_precip,solar_zenith,solar_alt,cos_zenith,tmpf_clim_global,tmpf_anomaly,mslp_tend_1h,mslp_tend_3h,mslp_tend_6h,tmpf_tend_1h,tmpf_tend_3h,tmpf_tend_6h,tmpf_lag_1h,tmpf_lag_2h,tmpf_lag_3h,tmpf_lag_6h,tmpf_lag_12h,tmpf_lag_24h,dwpf_lag_1h,dwpf_lag_2h,dwpf_lag_3h,dwpf_lag_6h,dwpf_lag_12h,dwpf_lag_24h,tmpf_roll3_mean,tmpf_roll6_mean,tmpf_roll24_mean,tmpf_roll3_std,mslp_roll3_mean,hour_sin,hour_cos,month_sin,month_cos,hour,month,dayofyear,KEWR_tmpf,KEWR_tmpf_delta,KEWR_tmpf_tend_3h,KEWR_sknt,KEWR_drct,KLGA_tmpf,KLGA_tmpf_delta,KLGA_tmpf_tend_3h,KLGA_sknt,KLGA_drct,KJFK_tmpf,KJFK_tmpf_delta,KJFK_tmpf_tend_3h,KJFK_sknt,KJFK_drct,KTEB_tmpf,KTEB_tmpf_delta,KTEB_tmpf_tend_3h,KTEB_sknt,KTEB_drct,valid_t,pred_high,pred_t3h,pred_t6h,obs_high,reassessed
61.0,37.0,40.77,1028.8,8.0,0.0,-6.928203230275509,-4.000000000000001,24.0,5.0,6.0,2.0,12000.0,0.0,0.04,0.0,63.3069378336544,26.693062166345598,0.44921081873152724,65.8952380952381,-4.895238095238099,-0.2999999999999545,0.2999999999999545,2.3999999999998636,1.0,4.0,4.0,60.0,59.0,57.0,57.0,59.0,56.0,39.0,37.0,38.0,40.0,48.0,54.0,58.666666666666664,57.666666666666664,58.375,1.5275252316519485,1028.8,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,11.0,5.0,142.0,65.0,4.0,4.0,11.0,50.0,62.0,1.0,4.0,16.0,40.0,65.0,4.0,5.0,8.0,60.0,63.0,2.0,4.0,12.0,90.0,2026-05-22T15:51:00+00:00,66.44874572753906,62.760475158691406,59.97880935668945,61.0,66.44874572753906
65.0,39.0,38.32,1028.5,9.0,0.0,-8.457233587073175,-3.0781812899310195,26.0,4.0,0.0,0.0,25000.0,0.0,0.01,0.0,60.82520603924884,29.17479396075116,0.4874755887496074,68.04166666666667,-3.0416666666666714,-0.2999999999999545,-0.2999999999999545,1.400000000000091,4.0,6.0,9.0,61.0,60.0,59.0,56.0,58.0,57.0,37.0,39.0,37.0,38.0,45.0,56.0,60.0,58.333333333333336,58.583333333333336,1.0000000000000044,1028.8999999999999,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,12.0,5.0,142.0,67.0,2.0,5.0,9.0,50.0,65.0,0.0,5.0,13.0,50.0,63.0,-2.0,1.0,16.0,120.0,65.0,0.0,4.0,8.0,100.0,2026-05-22T16:51:00+00:00,67.16585540771484,64.12550354003906,60.25194549560547,65.0,67.16585540771484
66.0,37.0,34.22,1027.9,7.0,0.0,-6.5778483455013586,-2.3941410032796817,29.0,8.0,6.0,4.0,10000.0,0.0,0.0,0.0,61.486725046444384,28.513274953555616,0.4773623620353696,68.9447004608295,-2.9447004608294947,-0.599999999999909,-1.199999999999818,-0.09999999999990905,1.0,6.0,9.0,65.0,61.0,60.0,57.0,59.0,59.0,39.0,37.0,39.0,38.0,43.0,57.0,62.0,59.833333333333336,58.916666666666664,2.645751311064592,1028.8,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,13.0,5.0,142.0,67.0,1.0,4.0,9.0,110.0,66.0,0.0,7.0,14.0,40.0,64.0,-2.0,1.0,14.0,100.0,66.0,0.0,4.0,8.0,100.0,2026-05-22T17:51:00+00:00,67.50176239013672,61.58863830566406,56.80677032470703,66.02,67.50176239013672
68.0,39.0,34.54,1027.3,6.0,0.0,0.0,0.0,29.0,5.0,0.0,-6.0,25000.0,0.0,0.0,0.0,65.19316702254397,24.806832977456025,0.41956033914817004,69.49130434782609,-1.4913043478260875,-0.6000000000001364,-1.5,-1.2000000000000455,2.0,7.0,11.0,66.0,65.0,61.0,57.0,58.0,58.0,37.0,39.0,37.0,38.0,44.0,55.0,64.0,61.333333333333336,59.208333333333336,2.645751311064592,1028.4,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,14.0,5.0,142.0,66.0,-2.0,1.0,8.0,150.0,68.0,0.0,6.0,15.0,40.0,62.0,-6.0,-3.0,18.0,100.0,68.0,0.0,5.0,11.0,80.0,2026-05-22T18:51:00+00:00,68.72222137451172,59.5677604675293,56.048973083496094,68.0,68.72222137451172
67.0,38.0,34.38,1026.9,6.0,0.0,-5.908846518073248,1.0418890660015818,29.0,3.0,0.0,0.0,25000.0,0.0,0.0,0.0,71.45746192533014,18.542538074669864,0.3180086323106792,69.18595041322314,-2.1859504132231393,-0.3999999999998636,-1.599999999999909,-1.8999999999998636,-1.0,2.0,8.0,68.0,66.0,65.0,59.0,59.0,58.0,39.0,37.0,39.0,37.0,41.0,54.0,66.33333333333333,63.166666666666664,59.625,1.5275252316519514,1027.8999999999999,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,-0.8660254037844387,15.0,5.0,142.0,64.0,-3.0,-3.0,11.0,150.0,68.0,1.0,3.0,13.0,50.0,63.0,-4.0,0.0,18.0,120.0,67.0,0.0,2.0,11.0,100.0,2026-05-22T19:51:00+00:00,68.48169708251953,59.9471435546875,56.44683074951172,68.0,68.48169708251953
65.0,40.0,39.84,1027.4,3.0,0.0,0.0,0.0,25.0,-4.0,0.0,-6.0,25000.0,0.0,0.0,0.0,79.65191776019016,10.348082239809841,0.17962782188577386,68.63424124513618,-3.634241245136181,0.5,-0.5,-1.699999999999818,-2.0,-1.0,5.0,67.0,68.0,66.0,60.0,58.0,59.0,38.0,39.0,37.0,39.0,39.0,54.0,67.0,64.5,60.0,1.0000000000000098,1027.3666666666668,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,16.0,5.0,142.0,63.0,-2.0,-4.0,11.0,120.0,66.0,1.0,0.0,8.0,130.0,60.0,-5.0,-4.0,15.0,120.0,67.0,2.0,1.0,6.0,70.0,2026-05-22T20:51:00+00:00,68.34364318847656,58.67985153198242,56.24317932128906,68.0,68.34364318847656
62.0,41.0,46.01,1027.8,3.0,0.0,0.0,0.0,21.0,-8.0,0.0,0.0,25000.0,0.0,0.0,0.0,89.20652373103187,0.793476268968135,0.013848330761539594,67.51472868217054,-5.514728682170542,0.3999999999998636,0.5,-1.0,-3.0,-6.0,1.0,65.0,67.0,68.0,61.0,57.0,59.0,40.0,38.0,39.0,37.0,40.0,55.0,66.66666666666667,65.33333333333333,60.25,1.527525231651955,1027.2,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,17.0,5.0,142.0,61.0,-1.0,-5.0,9.0,130.0,64.0,2.0,-4.0,10.0,120.0,59.0,-3.0,-3.0,14.0,110.0,64.0,2.0,-4.0,8.0,230.0,2026-05-22T21:51:00+00:00,69.22026062011719,57.795284271240234,55.35701370239258,68.0,69.22026062011719
60.0,39.0,45.69,1027.9,7.0,0.0,-6.062177826491071,3.4999999999999982,21.0,-8.0,0.0,0.0,25000.0,0.0,0.0,0.0,99.67342916283219,0.0,0.0,66.32985074626866,-6.3298507462686615,0.10000000000013642,1.0,-0.599999999999909,-2.0,-7.0,-5.0,62.0,65.0,67.0,65.0,56.0,59.0,41.0,40.0,38.0,39.0,38.0,54.0,64.66666666666667,65.5,60.375,2.516611478423591,1027.3666666666666,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387,18.0,5.0,142.0,60.0,0.0,-4.0,10.0,130.0,61.0,1.0,-7.0,13.0,130.0,58.0,-2.0,-5.0,11.0,110.0,62.0,2.0,-5.0,7.0,160.0,2026-05-22T22:51:00+00:00,68.84281158447266,56.58495330810547,54.050025939941406,68.0,68.84281158447266
59.0,40.0,49.24,1028.1,4.0,0.0,0.0,0.0,19.0,-6.0,0.0,0.0,25000.0,0.0,0.0,0.0,110.70883210788018,0.0,0.0,64.87769784172662,-5.877697841726615,0.1999999999998181,0.6999999999998181,0.1999999999998181,-1.0,-6.0,-7.0,60.0,62.0,65.0,66.0,57.0,60.0,39.0,41.0,40.0,37.0,38.0,52.0,62.333333333333336,64.66666666666667,60.416666666666664,2.516611478423597,1027.7,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,19.0,5.0,142.0,58.0,-1.0,-5.0,8.0,130.0,59.0,0.0,-7.0,13.0,120.0,56.0,-3.0,-4.0,7.0,110.0,60.0,1.0,-7.0,7.0,140.0,2026-05-22T23:51:00+00:00,68.22100830078125,55.615291595458984,53.994998931884766,68.0,68.22100830078125
58.0,38.0,47.19,1028.6,4.0,0.0,0.0,0.0,20.0,-1.0,0.0,0.0,25000.0,0.0,0.0,0.0,122.02333575193002,0.0,0.0,63.590106007067135,-5.590106007067135,0.5,0.7999999999999545,1.2999999999999545,-1.0,-4.0,-10.0,59.0,60.0,62.0,68.0,57.0,59.0,40.0,39.0,41.0,39.0,38.0,51.0,60.333333333333336,63.5,60.375,1.5275252316519712,1027.9333333333332,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,20.0,5.0,142.0,58.0,0.0,-3.0,8.0,90.0,59.0,1.0,-5.0,13.0,110.0,56.0,-2.0,-3.0,9.0,100.0,59.0,1.0,-5.0,6.0,140.0,2026-05-23T00:51:00+00:00,69.35149383544922,54.6510124206543,52.36266326904297,68.0,69.35149383544922
