season,local_hour,n,mean,std,q0010,q0025,q0050,q0100,q0150,q0200,q0250,q0300,q0400,q0500,q0600,q0700,q0750,q0800,q0850,q0900,q0950,q0975,q0990
ALL,-1,32562,-0.042786520080538265,2.837259752006836,-7.529252471923828,-5.909425926208496,-4.568406867980957,-3.1294433593749997,-2.3683616638183596,-1.8568069458007812,-1.462672233581543,-1.1273685455322267,-0.601642608642578,-0.14336204528808594,0.31625671386718734,0.870166015625,1.2178936004638672,1.6970634155273403,2.2988943099975585,3.2277126312255864,4.786797332763669,6.371140098571772,8.501261711120604
ALL,0,1538,0.2136526124158048,4.390438872621148,-9.563197898864745,-8.18132266998291,-7.092429161071777,-5.325163269042968,-4.2542627334594725,-3.290285491943359,-2.649184226989746,-2.0681598663330085,-0.9079574584960936,0.172088623046875,1.4249114990234368,2.2917663574218743,2.8359756469726562,3.591578674316409,4.471332931518555,5.683892059326171,7.48576927185058,9.64852533340454,11.448183059692363
ALL,1,1553,0.16598393250494256,4.187264499641488,-9.417452697753907,-8.329020690917968,-6.55159912109375,-5.227929687499999,-4.053558349609375,-3.2518844604492183,-2.519329071044922,-1.8948532104492188,-0.8989990234374999,0.07907867431640625,1.2813705444335934,2.234382629394531,2.764129638671875,3.478799438476563,4.178544616699219,5.1687164306640625,7.085514831542967,8.94587020874024,11.188804931640627
ALL,2,1552,0.2045745166306643,4.100702831295612,-9.104519348144532,-7.792916488647461,-6.62226448059082,-5.076837921142578,-3.919967842102051,-3.0503463745117174,-2.3330373764038086,-1.7242958068847656,-0.8453262329101562,0.015309333801269531,1.1934661865234368,2.2592147827148437,2.8891286849975586,3.522765350341798,4.125115585327147,5.138283920288086,7.01786193847656,8.615154361724853,10.595937271118165
ALL,3,1548,0.3228465166017991,3.9983007852550534,-8.846518630981445,-7.753330039978027,-6.224176597595214,-4.773719024658202,-3.732486343383789,-2.8628723144531247,-2.2007484436035156,-1.6193782806396486,-0.6585998535156248,0.37769508361816406,1.2917861938476558,2.3143966674804672,2.831411361694336,3.3597160339355483,4.064990997314453,5.16510238647461,6.941586685180663,8.435504817962649,10.929739189147949
ALL,4,1531,0.20086806568267843,3.811191209238161,-8.150242614746094,-7.241759300231934,-6.0953369140625,-4.616100311279297,-3.697113037109375,-2.8832473754882812,-2.2444496154785156,-1.7312545776367188,-0.7427978515625,0.13183975219726562,1.0282440185546875,2.0729904174804688,2.5965099334716797,3.2277565002441406,3.871776580810547,5.1652069091796875,6.451087951660156,7.875729560852051,9.921077728271486
ALL,5,1523,0.12971328845559496,3.677109204396888,-8.06798713684082,-7.176541519165039,-5.952398681640625,-4.741926574707031,-3.6487346649169923,-2.741258239746093,-2.1582870483398438,-1.6914520263671877,-0.7388626098632811,0.14524078369140625,1.0538589477539062,1.9220809936523433,2.4533491134643555,3.065311431884768,3.7102874755859387,4.676217651367187,6.092218017578125,7.61511917114258,9.08525451660156
ALL,6,1412,0.08992356905518442,3.6270409180240333,-7.802200164794922,-6.8055065155029295,-5.867076683044433,-4.558254432678223,-3.399176025390625,-2.7431365966796877,-2.223761558532715,-1.7844230651855468,-0.8481895446777343,0.04413795471191406,0.8159027099609375,1.8705047607421865,2.304560661315918,2.8000961303710934,3.634952545166015,4.511488723754889,6.039803123474125,8.073648738861083,9.7422571182251
ALL,7,1360,-0.11435526988085577,3.4118657674502884,-7.373986511230469,-6.702716732025147,-5.58258056640625,-4.380278778076172,-3.5460987091064453,-2.7815238952636716,-2.276778221130371,-1.824942398071289,-0.9763671875,-0.23114776611328125,0.5409393310546874,1.4253955841064452,1.9470367431640625,2.5844543457031253,3.238257408142085,4.159729766845705,5.613561534881588,7.010687828063954,9.029899940490742
ALL,8,1208,-0.5900135968063052,3.1527525823800664,-7.993433532714843,-6.53238468170166,-5.573571968078613,-4.335591125488281,-3.6877864837646483,-3.1003646850585938,-2.6189613342285156,-2.222428131103516,-1.4220069885253905,-0.7232093811035156,0.10231399536132746,0.778900146484375,1.2304475402832047,1.715574645996094,2.2863243103027346,3.3289276123046867,4.88036193847655,6.189632415771484,8.035470924377465
